restaurant_name,review_count,avg_sentiment_score,positive_review_ratio,negative_review_ratio,avg_review_length,avg_subjectivity,area,restaurant_rating,user_rating_count
Two Sister’s Cafe,5,0.55708,0.8,0.2,42.2,0.4268267195767196,Baneshwor,4.4,50.0
Universal Tandoori Cafe,5,0.594,0.8,0.2,42.0,0.5956746031746032,Bhaktapur Durbar Square,3.5,183.0
Vajra Boutique Hotel,5,0.48163999999999996,0.6,0.2,39.8,0.6114670274170274,Bhaktapur Durbar Square,4.1,214.0
Vault Restro and Bar,5,0.41928,0.6,0.2,27.0,0.6355333333333334,New Road,4.4,113.0
Vertigo BBQ,5,0.5918599999999999,0.8,0.2,78.8,0.6445524691358024,Baneshwor,4.4,485.0
Vinoliva Restaurant & Bar,5,0.9778600000000001,1.0,0.0,111.0,0.6575267857142857,New Road,4.3,252.0
Walnut Bistro - Restaurant in Kathmandu,5,0.90726,1.0,0.0,105.6,0.6612925122618217,New Road,4.7,3136.0
Western Restro,5,0.94146,1.0,0.0,55.2,0.5862827260458839,New Road,5.0,245.0
Wonderland Restaurant,5,0.91562,1.0,0.0,33.0,0.5868163780663782,Baneshwor,4.0,219.0
YABA YANG,9,0.8191555555555555,1.0,0.0,39.44444444444444,0.6440396985730319,Baneshwor,4.7,19.0
Yala Cafe & Coffee Shop,5,0.96198,1.0,0.0,60.4,0.6455523180523179,New Road,4.8,1763.0
Yasumi Japanese Restaurant,5,0.8858,1.0,0.0,52.2,0.568947496947497,New Road,4.5,173.0
Yatra cafe and restaurant,5,0.8475999999999999,1.0,0.0,27.2,0.4909920634920635,Koteshwor,4.7,16.0
Yog Rooftop Garden Restaurant & Bar,5,0.9219200000000001,1.0,0.0,71.4,0.6465648629148629,New Road,4.5,433.0
Zafar Ka Safar,5,0.61634,1.0,0.0,12.2,0.6241919191919192,Koteshwor,5.0,29.0
khwapa chhen Guest House and Restaurant,5,0.86486,1.0,0.0,43.8,0.7342831501831502,Bhaktapur Durbar Square,3.9,85.0
华都24 小时餐厅（24 Hours Restaurant）,1,0.4404,1.0,0.0,10.0,0.30000000000000004,New Road,5.0,1.0
